PERSONID,RECORDACTIVITYDATE,TESTSCORE,TESTSCORETYPERAW,TESTDATE
1,01/26/1998 00:00:00,550,S02,05/01/1997 00:00:00
1,01/26/1998 00:00:00,600,S01,05/01/1997 00:00:00
8,12/14/2007 15:34:00,20,A04,01/07/1995 00:00:00
8,12/14/2007 15:34:00,25,A05,01/07/1995 00:00:00
8,12/14/2007 15:34:00,26,A03,01/07/1995 00:00:00
8,12/14/2007 15:34:00,23,A01,01/07/1995 00:00:00
8,12/14/2007 15:34:00,33,A02,01/07/1995 00:00:00
12,12/14/2007 15:34:00,479,S02,11/04/2003 13:39:27
12,12/14/2007 15:34:00,1764,SATC,11/04/2003 13:39:27
12,12/14/2007 15:34:00,787,S01,11/04/2003 13:39:27
12,12/14/2007 15:34:00,498,S07,11/04/2003 13:39:27
36,01/29/1999 00:00:00,18,A01,01/01/1999 00:00:00
43,12/14/2007 15:34:00,27,A03,07/22/1994 17:17:17
43,12/14/2007 15:34:00,25,A05,07/22/1994 17:17:17
43,12/14/2007 15:34:00,512,S01,10/20/1994 17:17:17
43,12/14/2007 15:34:00,799,S02,10/20/1994 17:17:17
43,12/14/2007 15:34:00,702,S07,10/20/1994 17:17:17
43,12/14/2007 15:34:00,2013,SATC,10/20/1994 17:17:17
43,12/14/2007 15:34:00,19,A01,07/22/1994 17:17:17
43,12/14/2007 15:34:00,28,A02,07/22/1994 17:17:17
43,12/14/2007 15:34:00,28,A04,07/22/1994 17:17:17
45,12/14/2007 15:34:00,27,A01,03/08/2006 00:00:00
45,12/14/2007 15:34:00,27,A02,03/08/2006 00:00:00
45,12/14/2007 15:34:00,29,A05,03/08/2006 00:00:00
45,12/14/2007 15:34:00,32,A03,03/08/2006 00:00:00
45,12/14/2007 15:34:00,33,A04,03/08/2006 00:00:00
62,02/15/2002 00:00:00,670,S02,05/21/1994 00:00:00
62,02/15/2002 00:00:00,550,S01,05/21/1994 00:00:00
63,02/15/2002 00:00:00,700,S01,04/16/1994 00:00:00
63,02/15/2002 00:00:00,575,S02,04/16/1994 00:00:00
63,02/15/2002 00:00:00,600,S01,05/21/1994 00:00:00
63,02/15/2002 00:00:00,500,S02,05/21/1994 00:00:00
63,06/01/2006 00:00:00,43,COMR,05/01/2006 00:00:00
64,02/15/2002 00:00:00,790,S02,03/05/1994 00:00:00
64,02/15/2002 00:00:00,800,S01,03/05/1994 00:00:00
65,02/15/2002 00:00:00,798,S02,04/16/1994 00:00:00
65,02/15/2002 00:00:00,750,S01,04/16/1994 00:00:00
66,02/15/2002 00:00:00,550,S02,03/05/1994 00:00:00
66,02/15/2002 00:00:00,450,S01,03/05/1994 00:00:00
67,02/15/2002 00:00:00,670,S01,05/21/1994 00:00:00
67,02/15/2002 00:00:00,498,S02,03/05/1994 00:00:00
67,02/15/2002 00:00:00,578,S01,03/05/1994 00:00:00
67,02/15/2002 00:00:00,770,S02,05/21/1994 00:00:00
68,07/06/1995 00:00:00,18,A02,01/15/1995 00:00:00
68,07/06/1995 00:00:00,19,A04,01/15/1995 00:00:00
68,07/06/1995 00:00:00,19,A01,01/15/1995 00:00:00
68,07/06/1995 00:00:00,19,A05,01/15/1995 00:00:00
68,07/06/1995 00:00:00,19,A03,01/15/1995 00:00:00
68,02/15/2002 00:00:00,660,S02,04/16/1994 00:00:00
68,02/15/2002 00:00:00,560,S01,04/16/1994 00:00:00
69,02/15/2002 00:00:00,500,S02,04/16/1994 00:00:00
69,02/15/2002 00:00:00,450,S01,04/16/1994 00:00:00
70,02/15/2002 00:00:00,800,S02,05/21/1994 00:00:00
70,02/15/2002 00:00:00,780,S01,05/21/1994 00:00:00
71,12/14/2007 15:34:00,787,LSAT,01/15/1995 00:00:00
71,12/14/2007 15:34:00,507,S01,02/15/2002 00:00:00
71,12/14/2007 15:34:00,1779,SATC,02/15/2002 00:00:00
71,12/14/2007 15:34:00,793,S07,02/15/2002 00:00:00
71,12/14/2007 15:34:00,479,S02,02/15/2002 00:00:00
72,02/15/2002 00:00:00,750,S02,03/05/1994 00:00:00
72,02/15/2002 00:00:00,660,S01,03/05/1994 00:00:00
73,02/15/2002 00:00:00,575,S01,03/05/1994 00:00:00
73,02/15/2002 00:00:00,694,S02,05/21/1994 00:00:00
73,02/15/2002 00:00:00,675,S01,05/21/1994 00:00:00
73,02/15/2002 00:00:00,670,S02,03/05/1994 00:00:00
74,02/15/2002 00:00:00,569,S02,05/21/1994 00:00:00
74,02/15/2002 00:00:00,477,S01,05/21/1994 00:00:00
75,02/15/2002 00:00:00,660,S02,04/16/1994 00:00:00
75,02/15/2002 00:00:00,550,S01,04/16/1994 00:00:00
76,02/15/2002 00:00:00,675,S02,05/21/1994 00:00:00
76,02/15/2002 00:00:00,790,S01,05/21/1994 00:00:00
77,02/15/2002 00:00:00,690,S02,03/05/1994 00:00:00
77,02/15/2002 00:00:00,500,S01,03/05/1994 00:00:00
78,02/15/2002 00:00:00,690,S02,05/21/1994 00:00:00
78,02/15/2002 00:00:00,760,S01,05/21/1994 00:00:00
79,02/15/2002 00:00:00,780,S02,03/16/1994 00:00:00
79,02/15/2002 00:00:00,576,S01,04/16/1994 00:00:00
80,02/15/2002 00:00:00,575,S02,04/16/1994 00:00:00
80,02/15/2002 00:00:00,675,S01,04/16/1994 00:00:00
81,02/15/2002 00:00:00,690,S02,05/21/1994 00:00:00
81,02/15/2002 00:00:00,734,S01,05/21/1994 00:00:00
82,12/14/2007 15:34:00,18,A01,01/15/1995 00:00:00
82,12/14/2007 15:34:00,32,A02,01/15/1995 00:00:00
82,12/14/2007 15:34:00,28,A04,01/15/1995 00:00:00
82,12/14/2007 15:34:00,21,A03,01/15/1995 00:00:00
82,12/14/2007 15:34:00,2034,SATC,04/15/1995 00:00:00
82,12/14/2007 15:34:00,697,S01,04/15/1995 00:00:00
82,12/14/2007 15:34:00,611,S02,04/15/1995 00:00:00
82,12/14/2007 15:34:00,726,S07,04/15/1995 00:00:00
82,12/14/2007 15:34:00,24,A05,01/15/1995 00:00:00
83,12/14/2007 15:34:00,35,A01,01/15/1995 00:00:00
83,12/14/2007 15:34:00,32,A02,01/15/1995 00:00:00
83,12/14/2007 15:34:00,27,A05,01/15/1995 00:00:00
83,12/14/2007 15:34:00,21,A03,01/15/1995 00:00:00
83,12/14/2007 15:34:00,21,A04,01/15/1995 00:00:00
84,12/14/2007 15:34:00,490,S01,01/15/1995 00:00:00
84,12/14/2007 15:34:00,1836,SATC,01/15/1995 00:00:00
84,12/14/2007 15:34:00,587,S07,01/15/1995 00:00:00
84,12/14/2007 15:34:00,759,S02,01/15/1995 00:00:00
85,12/14/2007 15:34:00,26,A01,01/15/1995 00:00:00
85,12/14/2007 15:34:00,22,A02,01/15/1995 00:00:00
85,12/14/2007 15:34:00,19,A04,01/15/1995 00:00:00
85,12/14/2007 15:34:00,33,A03,01/15/1995 00:00:00
85,12/14/2007 15:34:00,1828,SATC,04/15/1995 00:00:00
85,12/14/2007 15:34:00,681,S01,04/15/1995 00:00:00
85,12/14/2007 15:34:00,436,S02,04/15/1995 00:00:00
85,12/14/2007 15:34:00,711,S07,04/15/1995 00:00:00
85,12/14/2007 15:34:00,25,A05,01/15/1995 00:00:00
111,04/28/1999 00:00:00,96,SO1,05/01/1997 00:00:00
111,02/15/2002 00:00:00,674,S01,03/05/1994 00:00:00
111,02/15/2002 00:00:00,770,S02,03/05/1994 00:00:00
120,12/14/2007 15:34:00,20,A02,05/18/2007 13:40:53
120,12/14/2007 15:34:00,22,A05,05/18/2007 13:40:53
120,12/14/2007 15:34:00,19,A03,05/18/2007 13:40:53
120,12/14/2007 15:34:00,23,A04,05/18/2007 13:40:53
120,12/14/2007 15:34:00,28,A01,05/18/2007 13:40:53
124,10/17/2011 12:44:38,22,A05,10/10/2010 00:00:00
124,10/17/2011 12:44:38,0940,SATT,10/10/2010 00:00:00
129,02/15/2002 00:00:00,570,S02,03/05/1994 00:00:00
129,02/15/2002 00:00:00,450,S01,03/05/1994 00:00:00
130,02/15/2002 00:00:00,700,S01,04/16/1994 00:00:00
130,02/15/2002 00:00:00,670,S02,03/16/1994 00:00:00
131,02/15/2002 00:00:00,570,S01,03/05/1994 00:00:00
131,02/15/2002 00:00:00,657,S02,03/05/1994 00:00:00
132,02/15/2002 00:00:00,590,S02,05/21/1994 00:00:00
132,02/15/2002 00:00:00,495,S01,05/21/1994 00:00:00
133,02/15/2002 00:00:00,770,S02,05/21/1994 00:00:00
133,02/15/2002 00:00:00,796,S01,05/21/1994 00:00:00
133,02/15/2002 00:00:00,690,S02,03/05/1994 00:00:00
133,02/15/2002 00:00:00,795,S01,03/05/1994 00:00:00
134,02/15/2002 00:00:00,600,S01,03/05/1994 00:00:00
134,02/15/2002 00:00:00,660,S02,03/05/1994 00:00:00
135,02/15/2002 00:00:00,550,S01,05/21/1994 00:00:00
135,02/15/2002 00:00:00,670,S02,05/21/1994 00:00:00
136,02/15/2002 00:00:00,600,S01,04/16/1994 00:00:00
136,02/15/2002 00:00:00,570,S02,04/16/1994 00:00:00
137,02/15/2002 00:00:00,700,S01,04/16/1994 00:00:00
137,02/15/2002 00:00:00,570,S02,04/16/1994 00:00:00
138,02/15/2002 00:00:00,500,S01,03/05/1994 00:00:00
138,02/15/2002 00:00:00,600,S02,03/05/1994 00:00:00
139,02/15/2002 00:00:00,790,S01,05/21/1994 00:00:00
139,02/15/2002 00:00:00,760,S02,05/21/1994 00:00:00
140,02/15/2002 00:00:00,700,S02,05/21/1994 00:00:00
140,02/15/2002 00:00:00,670,S01,05/21/1994 00:00:00
141,02/15/2002 00:00:00,670,S01,03/05/1994 00:00:00
141,02/15/2002 00:00:00,500,S02,03/05/1994 00:00:00
142,02/15/2002 00:00:00,600,S01,04/16/1994 00:00:00
142,02/15/2002 00:00:00,760,S02,04/16/1994 00:00:00
143,02/15/2002 00:00:00,660,S01,04/16/1994 00:00:00
143,02/15/2002 00:00:00,550,S02,04/16/1994 00:00:00
144,02/15/2002 00:00:00,450,S01,03/05/1994 00:00:00
144,02/15/2002 00:00:00,500,S02,03/05/1994 00:00:00
145,02/15/2002 00:00:00,690,S01,04/16/1994 00:00:00
145,02/15/2002 00:00:00,500,S02,04/16/1994 00:00:00
146,02/15/2002 00:00:00,600,S02,03/05/1994 00:00:00
146,02/15/2002 00:00:00,700,S01,03/05/1994 00:00:00
147,02/15/2002 00:00:00,550,S02,03/05/1994 00:00:00
147,02/15/2002 00:00:00,450,S01,03/05/1994 00:00:00
148,12/14/2007 15:34:00,1470,SATC,01/19/1995 00:00:00
148,12/14/2007 15:34:00,590,S07,01/19/1995 00:00:00
148,12/14/2007 15:34:00,400,S02,01/19/1995 00:00:00
148,12/14/2007 15:34:00,480,S01,01/19/1995 00:00:00
149,12/14/2007 15:34:00,22,A04,01/19/1995 00:00:00
149,12/14/2007 15:34:00,1768,SATC,04/19/1995 00:00:00
149,12/14/2007 15:34:00,416,S07,04/19/1995 00:00:00
149,12/14/2007 15:34:00,749,S02,04/19/1995 00:00:00
149,12/14/2007 15:34:00,603,S01,04/19/1995 00:00:00
149,12/14/2007 15:34:00,21,A05,01/19/1995 00:00:00
149,12/14/2007 15:34:00,21,A03,01/19/1995 00:00:00
149,12/14/2007 15:34:00,23,A02,01/19/1995 00:00:00
149,12/14/2007 15:34:00,21,A01,01/19/1995 00:00:00
150,12/14/2007 15:34:00,35,A02,01/19/1995 00:00:00
150,12/14/2007 15:34:00,33,A01,01/19/1995 00:00:00
150,12/14/2007 15:34:00,30,A05,01/19/1995 00:00:00
150,12/14/2007 15:34:00,32,A04,01/19/1995 00:00:00
150,12/14/2007 15:34:00,21,A03,01/19/1995 00:00:00
151,12/14/2007 15:34:00,505,S02,01/19/1995 00:00:00
151,12/14/2007 15:34:00,699,S07,01/19/1995 00:00:00
151,12/14/2007 15:34:00,1627,SATC,01/19/1995 00:00:00
151,12/14/2007 15:34:00,423,S01,01/19/1995 00:00:00
154,04/18/2011 13:23:28,22,APEA,02/20/2011 00:00:00
154,04/18/2011 13:23:29,109,APEN,02/20/2011 00:00:00
154,04/18/2011 13:23:29,94,APRC,02/20/2011 00:00:00
154,04/28/2011 21:13:55,101,APEA,02/27/2011 00:00:00
154,06/01/2011 11:38:55,109,APEN,01/20/2011 00:00:00
154,06/01/2011 11:38:55,34,APEA,01/20/2011 00:00:00
