benefitamount (DEV Raw),benefitamount (QA Raw),benefittyperaw (DEV Raw),benefittyperaw (QA Raw),personid (DEV Raw),personid (QA Raw),recordactivitydate (DEV Raw),recordactivitydate (QA Raw),termcode (DEV Raw),termcode (QA Raw)
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,ARMY,,,,,,
,,FFPG,VMS,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FSEG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FSEG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FSEG,NAVP,,,,,,
,,FSEG,ARMP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FSEG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FSEG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,ARMP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FSEG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FSEG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,FSEG,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,NAVP,,,,,,
,,FFPG,FSEG,,,,,,
