benefitamount (DEV Raw),benefitamount (QA Raw),,benefittyperaw (DEV Raw),benefittyperaw (QA Raw),termcode (DEV Raw),termcode (QA Raw),recordactivitydate (DEV Raw),recordactivitydate (QA Raw),personid (DEV Raw),personid (QA Raw)
150.0,300.0,,FFPG,ARMP,200510,200810.0,04/15/04,01/01/08,693,908.0
1200.0,125.0,,FFPG,FSEG,200810,201670.0,09/23/04,09/14/07,903,2201.0
625.0,600.0,,FFPG,FSEG,200110,200310.0,02/06/03,07/27/05,645,896.0
250.0,2000.0,,FFPG,FSEG,200510,201010.0,01/03/08,03/09/11,1572,30265.0
600.0,250.0,,FFPG,FSEG,200510,200910.0,10/15/03,11/29/06,3139,33500.0
600.0,750.0,,FFPG,FSEG,200510,200920.0,12/31/09,12/07/07,3139,33374.0
250.0,125.0,,FSEG,NAVP,199910,200510.0,03/23/05,04/20/09,1938,30824.0
500.0,125.0,,FFPG,FSEG,200320,200610.0,08/12/09,10/05/11,3438,33825.0
-287.0,167.0,,FFPG,FSEG,200510,200910.0,04/08/98,08/06/99,30587,38954.0
1550.0,150.0,,FFPG,NAVP,199910,200320.0,08/06/99,07/26/05,3062,32875.0
1300.0,250.0,,FFPG,FSEG,200610,201010.0,08/05/99,05/07/03,2560,32106.0
1175.0,600.0,,FFPG,FSEG,200710,200810.0,08/05/04,07/09/08,30500,37086.0
398.0,750.0,,FFPG,FSEG,200310,200610.0,05/07/03,02/06/13,804,1455.0
250.0,104.0,,FFPG,FSEG,199910,200510.0,06/24/03,11/03/05,901,2113.0
730.0,750.0,,FFPG,FSEG,200720,200710.0,06/20/07,06/21/06,30411,36489.0
1975.0,250.0,,FFPG,FSEG,199910,200310.0,05/07/03,06/11/07,2589,32133.0
975.0,600.0,,FFPG,FSEG,200410,200720.0,01/22/98,04/23/98,2836,32602.0
850.0,750.0,,FFPG,NAVP,200310,200610.0,03/23/05,11/19/08,1927,30824.0
450.0,2000.0,,FFPG,FSEG,199810,199910.0,08/05/99,03/27/03,30831,65864.0
200.0,2000.0,,FFPG,FSEG,200120,199820.0,08/09/05,12/06/11,804,1369.0
1500.0,250.0,,FFPG,FSEG,200210,201010.0,07/18/05,05/31/11,30334,35987.0
1350.0,250.0,,FFPG,FSEG,200610,200920.0,11/10/05,10/05/08,30406,36471.0
1498.0,450.0,,FFPG,FSEG,200610,200810.0,08/05/99,05/11/03,2865,32701.0
1075.0,250.0,,FFPG,FSEG,200510,200810.0,09/24/05,11/17/10,30142,35411.0
1170.0,500.0,,FFPG,FSEG,200310,200620.0,04/01/03,06/22/03,30521,37250.0
925.0,600.0,,FFPG,FSEG,200310,200510.0,06/19/97,06/27/01,2868,32729.0
1050.0,360.0,,FFPG,FSEG,200510,200820.0,01/26/98,06/22/98,649,898.0
750.0,12440.0,,FFPG,NAVP,200810,201110.0,09/19/07,01/23/12,30402,36422.0
980.0,2000.0,,FFPG,FSEG,200610,201210.0,09/22/00,09/08/04,2881,32766.0
1280.0,250.0,,FFPG,FSEG,200310,200610.0,08/04/99,03/13/03,1853,30538.0
1525.0,250.0,,FFPG,FSEG,200420,200720.0,07/14/04,03/14/07,30828,49439.0
1100.0,200.0,,FFPG,FSEG,200510,200920.0,06/08/04,10/25/06,407,715.0
1250.0,500.0,,FFPG,FSEG,200120,199810.0,10/13/05,11/30/15,1573,30317.0
-150.0,600.0,,FSEG,NAVP,200710,200810.0,10/10/03,12/05/05,2790,32563.0
232.0,1000.0,,FFPG,FSEG,200510,200920.0,06/13/01,11/07/08,3109,33039.0
500.0,1000.0,,FFPG,FSEG,200510,200710.0,03/27/03,09/27/05,706,913.0
1500.0,600.0,,FFPG,FSEG,200510,200910.0,11/17/05,08/09/12,30824,40714.0
1500.0,250.0,,FFPG,FSEG,200610,201210.0,07/14/04,01/03/08,3049,32873.0
580.0,750.0,,FFPG,FSEG,200020,200510.0,08/05/99,01/03/08,2288,31732.0
1800.0,1250.0,,FFPG,FSEG,200420,200810.0,11/29/05,11/26/07,2788,32525.0
500.0,167.0,,FFPG,FSEG,199910,200510.0,04/01/03,08/17/04,30824,40674.0
-200.0,250.0,,FFPG,FSEG,200510,200810.0,05/11/03,07/26/06,765,1362.0
600.0,300.0,,FFPG,FSEG,200610,200920.0,04/26/98,04/01/03,1476,3264.0
